number of layers,mse_train,mse_test,bias,variance
1,0.02421334228265302,0.025011671128898058,0.01477235666506065,0.014732769793433211
2,0.024441359434972575,0.02501651067960883,0.01438114866546339,0.01594680217620174
3,0.024892480462168045,0.025476409739155114,0.014010132982713532,0.017156386659722786
4,0.022583980185580072,0.02339814311020736,0.014566374468010906,0.01365652827531346
5,0.024640356365129373,0.02540545978447883,0.015387956040354478,0.013392364727733894
