number of layers,mse,bias,variance
1,0.02637092283167911,0.016497125269049177,0.01218053850466432
2,0.02476159195838161,0.014361042871379348,0.015106003404253615
3,0.026445464608954614,0.014009952911773373,0.018029993211196037
4,0.02545605113642456,0.013430002455898381,0.018125478671565894
5,0.025467044579138617,0.013886760427692853,0.01668445288616359
